,City,Country,Lat,Lng,Hotel Name
287,Sibolga,ID,1.74,98.78,
288,Yugorsk,RU,61.31,63.33,
289,Kolondiéba,ML,11.09,-6.89,
290,Luján,AR,-34.57,-59.1,
291,Taoudenni,ML,22.68,-3.98,
292,Lata,PT,40.16,-8.33,
293,Río Cuarto,AR,-33.13,-64.35,
294,Koygorodok,RU,60.45,51.0,
295,Geraldton,AU,-28.77,114.6,
296,Oranjestad,AW,12.52,-70.03,
297,Rabaul,PG,-4.2,152.17,
298,Jenbach,AT,47.4,11.74,
299,Pudozh,RU,61.81,36.53,
300,Riyadh,SA,24.69,46.72,
301,Al Bardīyah,LY,31.76,25.09,
302,Inhambane,MZ,-23.86,35.38,
303,Lompoc,US,34.64,-120.46,
304,Havøysund,NO,71.0,24.66,
305,Ankazoabo,MG,-22.28,44.52,
306,Denpasar,ID,-8.65,115.22,
307,Tiznit Province,MA,29.58,-9.5,
308,Tafresh,IR,34.69,50.01,
309,Gravdal,NO,68.12,13.5,
310,Mubi,NG,10.27,13.26,
311,Peçanha,BR,-18.55,-42.56,
312,Yashalta,RU,46.34,42.28,
313,Sinegor'ye,RU,62.08,150.48,
314,Caribou,US,46.86,-68.01,
315,Safi,MA,32.3,-9.24,
316,Saint-Augustin,CA,51.23,-58.65,
317,Mwingi,KE,-0.93,38.06,
318,High Prairie,CA,55.43,-116.49,
319,El Cobre,CU,20.05,-75.95,
320,Gulu,UG,2.77,32.3,
321,Catuday,PH,16.29,119.81,
322,Rabak,SD,13.18,32.74,
323,Zhaotong,CN,27.32,103.72,
324,Dubuque,US,42.48,-90.87,
325,Ponta Delgada,PT,37.73,-25.67,
326,Baruun-Urt,MN,46.68,113.28,
327,Adrar,MR,20.5,-10.07,
328,Erenhot,CN,43.65,111.98,
329,Coari,BR,-4.08,-63.14,
330,Princeton,US,25.54,-80.41,
331,Itarema,BR,-2.92,-39.92,
332,Waspán,NI,14.74,-83.97,
333,Buala,SB,-8.14,159.59,
334,Sabirabad,AZ,40.01,48.48,
335,Vila Velha,BR,-20.33,-40.29,
336,Cidreira,BR,-30.18,-50.21,
337,Margate,GB,51.38,1.39,
338,Le Mars,US,42.79,-96.17,
339,Viedma,AR,-40.81,-63.0,
340,Lampang,TH,18.33,99.5,
341,Te Anau,NZ,-45.42,167.72,
342,Scarborough,GB,54.28,-0.4,
343,Pangnirtung,CA,66.15,-65.71,
344,Torbay,CA,47.67,-52.73,
345,Selfoss,IS,63.93,-21.0,
346,Yaring,TH,6.87,101.37,
347,Taksimo,RU,56.34,114.88,
348,San Quintín,MX,30.48,-115.95,
349,Manyana,BW,-23.4,21.72,
350,Venice,US,27.1,-82.45,
351,Kuching,MY,1.55,110.33,
352,Hare Bay,CA,48.85,-54.01,
353,High Level,CA,58.52,-117.14,
354,Subottsi,UA,48.66,32.52,
355,Patitiri,GR,39.15,23.87,
356,Kuytun,RU,54.34,101.5,
357,Kumul,CN,42.8,93.45,
358,Omaruru,,-21.43,15.93,
359,Hasaki,JP,35.73,140.83,
360,Kaka,TM,37.35,59.61,
361,San Cristobal,VE,7.77,-72.22,
362,Narasannapeta,IN,18.42,84.05,
363,Sakaiminato,JP,35.55,133.23,
364,At-Bashi,KG,41.17,75.81,
365,Ottumwa,US,41.02,-92.41,
366,Mangai,CD,-4.05,19.53,
367,Bustamante,MX,26.53,-100.5,
368,Ileza,RU,61.05,43.9,
369,Mwense,ZM,-10.38,28.7,
370,Clyde River,CA,70.47,-68.59,
371,Cherskiy,RU,68.75,161.3,
372,Acaraú,BR,-2.89,-40.12,
373,Vao,NC,-22.67,167.48,
374,Ambilobe,MG,-13.2,49.05,
375,Saint Anthony,US,45.02,-93.22,
376,Le Port,RE,-20.94,55.29,
377,Tual,ID,-5.67,132.75,
378,Kavaratti,IN,10.57,72.64,
379,Lahad Datu,MY,5.03,118.33,
380,Shitanjing,CN,39.23,106.34,
381,Bytów,PL,54.17,17.49,
382,Churapcha,RU,62.0,132.43,
383,Porto Velho,BR,-8.76,-63.9,
384,Steinbach am Taunus,DE,50.17,8.57,
385,Ojinaga,MX,29.57,-104.42,
386,Port-Cartier,CA,50.03,-66.87,
387,Vammala,FI,61.33,22.9,
388,Pleshanovo,RU,52.83,53.48,
389,Province of Trapani,IT,37.83,12.67,
390,Nichinan,JP,31.6,131.37,
391,Hisar,IN,29.17,75.72,
392,Koumac,NC,-20.57,164.28,
393,Kaihua,CN,23.37,104.28,
394,Bulungu,CD,-4.55,18.6,
395,Bonthe,SL,7.53,-12.51,
396,Makīnsk,KZ,52.63,70.42,
397,Ahipara,NZ,-35.17,173.17,
398,Kamaishi,JP,39.27,141.88,
399,Mackay,AU,-21.15,149.2,
400,Grindavik,IS,63.84,-22.43,
401,Praia,CV,14.92,-23.51,
402,La Santisima Trinidad,BO,-14.83,-64.9,
403,Kahului,US,20.89,-156.47,
404,Abhā,SA,18.22,42.51,
405,Guerrero Negro,MX,27.98,-114.06,
406,Tcholliré,CM,8.4,14.17,
407,Longyearbyen,SJ,78.22,15.64,
408,Enshi,CN,30.3,109.48,
409,Batemans Bay,AU,-35.72,150.18,
410,Havre-St-Pierre,CA,50.23,-63.6,
411,Jianhu,CN,29.98,120.57,
412,Serdobsk,RU,52.46,44.22,
413,Linqiong,CN,30.42,103.46,
414,Chara,RU,56.91,118.26,
415,Bilibino,RU,68.05,166.44,
416,Santa Helena de Goiás,BR,-17.81,-50.6,
417,Rūdbār,AF,30.15,62.6,
418,Carahue,CL,-38.7,-73.17,
419,Ozar,IN,20.1,73.93,
420,Thaton,MM,16.92,97.37,
421,Paamiut,GL,61.99,-49.67,
422,Malinovoye Ozero,RU,51.68,79.78,
423,Narsaq,GL,60.92,-46.05,
424,Fairbanks,US,64.84,-147.72,
425,Ndélé,CF,8.41,20.65,
426,Tianpeng,CN,30.99,103.94,
427,Banjar,ID,-8.19,114.97,
428,‘Āhuimanu,US,21.44,-157.84,
429,Teshie,GH,5.58,-0.11,
430,Barra Patuca,HN,15.8,-84.28,
431,Kadoma,JP,34.73,135.58,
432,Gazalkent,UZ,41.56,69.77,
433,Ulladulla,AU,-35.35,150.47,
434,Asău,RO,46.43,26.4,
435,Caçu,BR,-18.56,-51.13,
436,Calvinia,ZA,-31.47,19.78,
437,Broome,US,42.25,-75.83,
438,Izumo,JP,35.37,132.77,
439,Cap Malheureux,MU,-19.98,57.61,
440,Santa Rita,BR,-7.11,-34.98,
441,Camopi,GF,3.17,-52.32,
442,Souillac,MU,-20.52,57.52,
443,Jackson,US,42.42,-122.83,
444,Grootfontein,,-19.57,18.12,
445,City of San Pedro,PH,14.35,121.02,
446,Hong Kong,HK,22.29,114.16,
447,San Jerónimo,PE,-11.95,-75.28,
448,Kadhan,PK,24.48,68.99,
449,Paita,PE,-5.09,-81.11,
450,Ada,US,43.42,-116.13,
451,Prince Rupert,CA,54.32,-130.32,
452,Dwārka,IN,22.24,68.97,
453,Ritchie,ZA,-29.04,24.6,
454,Thohoyandou,ZA,-22.95,30.48,
455,Cotonou,BJ,6.37,2.42,
456,Esim,GH,4.87,-2.24,
457,Nakamura,JP,32.98,132.93,
458,Qaqortoq,GL,60.72,-46.03,
459,West Plains,US,36.73,-91.85,
460,Sangar,RU,63.92,127.47,
461,Constantine,DZ,36.37,6.61,
462,Haapiti,PF,-17.57,-149.87,
463,Pacific Grove,US,36.62,-121.92,
464,Arlit,NE,18.74,7.39,
465,Northam,GB,51.03,-4.22,
466,Aswān,EG,24.09,32.91,
467,Oktyabr'skoye,RU,43.06,44.74,
468,Podosinovets,RU,60.28,47.07,
469,Saint-Louis,SN,16.33,-15.0,
470,Salalah,OM,17.02,54.09,
471,Soligalich,RU,59.08,42.29,
472,Axum,ET,14.12,38.72,
473,Touros,BR,-5.2,-35.46,
474,Chapais,CA,49.78,-74.85,
475,Kosh-Agach,RU,50.0,88.67,
476,Inta,RU,66.03,60.17,
477,Turukhansk,RU,65.82,87.98,
478,Marawi,PH,8.0,124.29,
